SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
landsat8_oli;5;864.667000;landsat4_mss;0, 1, 2, 3;550.0, 650.0, 750.0, 950.0;-0.00567864042579, 0.00931992779245, -0.197634161955, 0.515304918527, 0.66308555283;-917.064846;0.000046
landsat8_oli;5;864.667000;meris;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14;412.433615778, 442.302283223, 489.626577523, 509.564329959, 559.440262161, 619.349162711, 664.322430724, 680.571670334, 708.080139841, 753.123045597, 760.007913967, 778.160657513, 864.627349057, 884.697163697, 899.753104609;3.95522148979e-06, -0.00145492702216, 0.00178100377941, -0.000173830791899, -0.000741633468175, 0.000609165807994, -0.00309563875488, 0.0114200423826, -0.00904272445113, 0.00088989421023, -0.00278049955427, 0.000736920203182, 0.0103250257512, 0.962483947798, 0.0179868006513, 0.0108069988057;-2310.917265;0.000000
landsat8_oli;5;864.667000;landsat7;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 835.0, 1650.0, 2220.0;0.00120797004642, 0.0742093191855, -0.1494969782, 0.0385880695274, 1.002818728, 0.100801233962, -0.0885998781634;-1171.879376;0.000006
landsat8_oli;5;864.667000;rapideye;0, 1, 2, 3, 4;475.0, 555.0, 657.5, 710.0, 805.0;0.0144388850376, -0.214006139226, 0.0641801830468, 0.238366811209, -0.199322123378, 1.04875160067;-926.217023;0.000042
landsat8_oli;6;1608.859000;sentinel3_olci;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20;400.0, 412.5, 442.5, 490.0, 510.0, 560.0, 620.0, 665.0, 673.75, 681.25, 708.75, 753.75, 761.25, 764.375, 767.5, 778.75, 865.0, 885.0, 900.0, 940.0, 1020.0;0.0296635476994, -3.87992231476, 7.43990205271, -4.51402815946, 0.142927045182, 1.69753005332, 0.041698536266, -2.79018270315, -2.17957399921, 12.1091013729, -7.76906703876, 0.917310605389, -7.51627258883, 9.00038277764, -21.0811507979, 45.1701646939, -31.960603427, 42.6823557965, -61.3771202043, 29.7123194122, -11.1843134007, 6.64913166639;-579.948986;0.000516
landsat8_oli;6;1608.859000;sentinel2;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12;443.929444843, 496.541069687, 560.006374949, 664.4491622, 703.886978943, 740.223452517, 782.473511978, 835.110186795, 864.80125832, 945.027529483, 1373.46188255, 1613.65940666, 2202.36668717;-0.000576157572512, 0.0189030086169, -0.0193126510018, 0.000780270107879, 0.00217428622075, 0.00556347075452, -0.00599364495308, -0.0648992770543, 0.198868135117, -0.130911020349, -0.00111526953135, -0.00156183210626, 0.995423843148, 0.00483998711113;-1678.037374;0.000000
landsat8_oli;6;1608.859000;sentinel3_slstr;0, 1, 2, 3, 4, 5;555.0, 659.0, 865.0, 1375.0, 1610.0, 2250.0;-0.000705274678814, -0.00456522271766, 0.00946449801935, -0.000938713022081, -0.00211192533098, 0.988661687, 0.0121565277744;-1616.555335;0.000000
landsat8_oli;6;1608.859000;aqua;2, 3, 0, 1, 4, 5, 6;466.07150204, 553.917076647, 645.8403499, 856.877853417, 1241.49758039, 1628.08776832, 2113.99922695;-0.00466640967668, 0.024760895612, -0.0242293247516, 0.0228166264695, -0.00366019012948, 0.0119416052928, 0.941480055092, 0.0477648262748;-1256.095961;0.000003
landsat8_oli;6;1608.859000;landsat5_tm;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 830.0, 1650.0, 2215.0;-0.000990769966474, 0.0195225098113, -0.0466589286853, 0.0520334548251, -0.00280296053034, 1.01741340919, -0.0352667677181;-1114.883618;0.000009
landsat8_oli;6;1608.859000;landsat5_mss;0, 1, 2, 3;550.0, 650.0, 750.0, 950.0;0.0743254480641, -0.228227824013, 1.75709449478, -1.73746949711, 1.43573049257;-453.856185;0.001856
landsat8_oli;6;1608.859000;terra;2, 3, 0, 1, 4, 5, 6;465.742398799, 553.736229817, 646.295673296, 856.47984028, 1242.16286011, 1629.40788053, 2114.21403827;-0.00489622891406, 0.0254603825943, -0.0246592477038, 0.0235923416233, -0.00405558741042, 0.0131410828368, 0.937526962072, 0.0509010400358;-1244.690368;0.000003
